date,project,inoculation,number,seedling_id,height_cm,branching_cm,diameter_mm,chlorosis,notes
11/08/2023,DFC,S,211,DFCS211,,,,,DEAD
11/08/2023,DFC,S,214,DFCS214,3.2,0,1.04,,
11/08/2023,DFC,S,207,DFCS207,2.6,0,1.06,,
11/08/2023,DFC,S,206,DFCS206,1.6,0,1.12,,
11/08/2023,DFC,S,213,DFCS213,3,0,1.01,,
11/08/2023,DFC,S,217,DFCS217,1.5,0,0.84,,
11/08/2023,DFC,S,210,DFCS210,2.9,0,0.99,,
11/08/2023,DFC,S,219,DFCS219,2.1,0,0.99,,
11/08/2023,DFC,S,215,DFCS215,2.2,0,1.11,,
11/08/2023,DFC,S,208,DFCS208,2.6,0,0.87,,
11/08/2023,DFC,S,209,DFCS209,2.4,0,1.16,,
11/08/2023,DFC,S,216,DFCS216,2.7,0,0.98,,
11/08/2023,DFC,S,218,DFCS218,3.2,0,1.14,,
11/08/2023,DFC,S,212,DFCS212,2.6,0,1.28,,
11/08/2023,DFC,U,205,DFCU205,2.2,0,0.97,,
11/08/2023,DFC,U,202,DFCU202,2.5,0,0.92,,
11/08/2023,DFC,U,201,DFCU201,2.4,0,1.02,,
11/08/2023,DFC,U,203,DFCU203,2.7,0,1.21,,
11/08/2023,DFC,U,204,DFCU204,2.1,0,1.1,,
11/08/2023,DFC,R,199,DFCR199,3.3,0,1.15,,
11/08/2023,DFC,R,191,DFCR191,1.8,0,0.99,,
11/08/2023,DFC,R,190,DFCR190,0.9,0,0.98,,
11/08/2023,DFC,R,187,DFCR187,1.2,0,0.94,,
11/08/2023,DFC,R,141,DFCR141,1.7,0,1.06,,
11/08/2023,DFC,R,134,DFCR134,1.6,0,1.06,,
11/08/2023,DFC,R,186,DFCR186,1.5,0,1.08,,
11/08/2023,DFC,R,113,DFCR113,2.6,0,1.17,,
11/08/2023,DFC,R,114,DFCR114,2.3,0,0.87,,
11/08/2023,DFC,R,111,DFCR111,1.7,0,0.89,,
11/08/2023,DFC,R,189,DFCR189,1.6,0,0.99,,
11/08/2023,DFC,R,144,DFCR144,2.3,0,1.12,,
11/08/2023,DFC,R,137,DFCR137,2.7,0,0.93,,
11/08/2023,DFC,R,179,DFCR179,1.6,0,0.92,,
11/08/2023,DFC,R,118,DFCR118,1.2,0,1.01,,
11/08/2023,DFC,R,108,DFCR108,1.7,0,0.85,,
11/08/2023,DFC,R,106,DFCR106,2,0,0.93,,
11/08/2023,DFC,R,178,DFCR178,2.1,0,0.92,,
11/08/2023,DFC,R,192,DFCR192,1.7,0,0.85,,
11/08/2023,DFC,R,151,DFCR151,2.6,0,0.88,,
11/08/2023,DFC,R,124,DFCR124,2.6,0,0.93,,
11/08/2023,DFC,R,110,DFCR110,1.7,0,0.94,,
11/08/2023,DFC,R,173,DFCR173,2,0,1.07,,
11/08/2023,DFC,R,107,DFCR107,2,0,0.87,,
11/08/2023,DFC,R,175,DFCR175,2.1,0,1.06,,
11/08/2023,DFC,R,181,DFCR181,1.4,0,1.14,,
11/08/2023,DFC,R,164,DFCR164,2.1,0,0.92,,
11/08/2023,DFC,R,185,DFCR185,1.4,0,0.86,,
11/08/2023,DFC,R,172,DFCR172,2.1,0,0.88,,
11/08/2023,DFC,R,105,DFCR105,1.9,0,0.87,,
11/08/2023,DFC,R,170,DFCR170,1.5,0,0.85,,
11/08/2023,DFC,R,119,DFCR119,1.8,0,0.84,,
11/08/2023,DFC,R,156,DFCR156,1.4,0,0.77,,
11/08/2023,DFC,R,139,DFCR139,1.6,0,0.81,,
11/08/2023,DFC,R,148,DFCR148,1.6,0,0.87,,
11/08/2023,DFC,R,171,DFCR171,2,0,1.05,,
11/08/2023,DFC,R,101,DFCR101,0.4,0,0.84,,
11/08/2023,DFC,R,103,DFCR103,2.5,0,1,,
11/08/2023,DFC,R,177,DFCR177,2.3,0,0.81,,
11/08/2023,DFC,R,157,DFCR157,1.7,0,1.12,,
11/08/2023,DFC,R,140,DFCR140,2.5,0,0.87,,
11/08/2023,DFC,R,180,DFCR180,2.4,0,0.98,,
11/08/2023,DFC,R,130,DFCR130,1.3,0,1.11,,
11/08/2023,DFC,R,104,DFCR104,2,0,1.05,,
11/08/2023,DFC,R,102,DFCR102,2.7,0,1.22,,
11/08/2023,DFC,R,174,DFCR174,2.9,0,0.96,,
11/08/2023,DFC,R,194,DFCR194,1.7,0,0.84,,
11/08/2023,DFC,R,198,DFCR198,2.8,0,1.01,,
11/08/2023,DFC,R,184,DFCR184,3.2,0,0.96,,
11/08/2023,DFC,R,176,DFCR176,1.9,0,0.98,,
11/08/2023,DFC,R,112,DFCR112,2,0,0.97,,
11/08/2023,DFC,R,135,DFCR135,1.5,0,0.96,,
11/08/2023,DFC,R,188,DFCR188,2.2,0,1.06,,
11/08/2023,DFC,R,120,DFCR120,2.2,0,0.95,,
11/08/2023,DFC,R,125,DFCR125,1.7,0,0.82,,
11/08/2023,DFC,R,109,DFCR109,2.4,0,1.21,,
11/08/2023,DFC,R,162,DFCR162,2.2,0,0.84,,
11/08/2023,DFC,R,159,DFCR159,1.5,0,0.9,,
11/08/2023,DFC,R,165,DFCR165,2.1,0,1.3,,
11/08/2023,DFC,R,117,DFCR117,2.1,0,1.2,,
11/08/2023,DFC,R,122,DFCR122,1.4,0,0.85,,
11/08/2023,DFC,R,158,DFCR158,1.8,0,0.97,,
11/08/2023,DFC,R,142,DFCR142,1.1,0,1.05,,
11/08/2023,DFC,R,183,DFCR183,1.8,0,0.95,,
11/08/2023,DFC,R,132,DFCR132,2.3,0,0.86,,
11/08/2023,DFC,R,145,DFCR145,1,0,0.9,,
11/08/2023,DFC,R,127,DFCR127,1.8,0,0.91,,
11/08/2023,DFC,R,121,DFCR121,2.6,0,0.85,,
11/08/2023,DFC,R,195,DFCR195,1.3,0,0.98,,
11/08/2023,DFC,R,147,DFCR147,2.1,0,1.18,,
11/08/2023,DFC,R,123,DFCR123,1.7,0,0.88,,
11/08/2023,DFC,R,149,DFCR149,2.3,0,0.91,,
11/08/2023,DFC,R,166,DFCR166,2.2,0,0.98,,
11/08/2023,DFC,R,115,DFCR115,1.6,0,0.87,,
11/08/2023,DFC,R,163,DFCR163,1.3,0,0.94,,
11/08/2023,DFC,R,196,DFCR196,1.6,0,1.01,,
11/08/2023,DFC,R,143,DFCR143,1.2,0,0.94,,
11/08/2023,DFC,R,116,DFCR116,1.1,0,0.91,,
11/08/2023,DFC,R,167,DFCR167,1.6,0,0.91,,
11/08/2023,DFC,R,152,DFCR152,1.5,0,0.82,,
11/08/2023,DFC,R,138,DFCR138,2.3,0,1.02,,
11/08/2023,DFC,R,161,DFCR161,1.2,0,1.04,,
11/08/2023,DFC,R,197,DFCR197,2.1,0,0.9,,
11/08/2023,DFC,R,133,DFCR133,1.2,0,0.8,,
11/08/2023,DFC,R,193,DFCR193,1.8,0,0.83,,
11/08/2023,DFC,R,153,DFCR153,2.1,0,1,,
11/08/2023,DFC,R,154,DFCR154,2,0,0.83,,
11/08/2023,DFC,R,136,DFCR136,1.9,0,1.26,,
11/08/2023,DFC,R,126,DFCR126,2.4,0,0.97,,
11/08/2023,DFC,R,128,DFCR128,2.2,0,0.81,,
11/08/2023,DFC,R,131,DFCR131,1.6,0,1.17,,
11/08/2023,DFC,R,160,DFCR160,2.2,0,0.96,,
11/08/2023,DFC,R,150,DFCR150,1.7,0,0.9,,
11/08/2023,DFC,R,146,DFCR146,1.7,0,0.98,,
11/08/2023,DFC,R,169,DFCR169,2.1,0,0.87,,
11/08/2023,DFC,R,182,DFCR182,2.3,0,0.96,,
11/08/2023,DFC,R,200,DFCR200,2.6,0,0.83,,
11/08/2023,DFC,R,129,DFCR129,1.6,0,1.03,,
11/08/2023,DFC,R,155,DFCR155,1.1,0,0.98,,
11/08/2023,DFC,R,168,DFCR168,2.3,0,0.93,,
12/13/2023,DFC,S,210,DFCS210,3.4,0,1.07,,
12/13/2023,DFC,S,214,DFCS214,3.2,0,1.13,,
12/13/2023,DFC,S,207,DFCS207,2.7,0,1.07,,
12/13/2023,DFC,S,206,DFCS206,1.8,0,1.18,,
12/13/2023,DFC,S,213,DFCS213,3.1,0,1.02,,
12/13/2023,DFC,S,217,DFCS217,1.2,0,0.84,,
12/13/2023,DFC,S,219,DFCS219,2.5,0,1.1,,
12/13/2023,DFC,S,215,DFCS215,2.3,0,1.79,,
12/13/2023,DFC,S,208,DFCS208,2.7,0,1.08,,
12/13/2023,DFC,S,209,DFCS209,2.4,0,0.99,,
12/13/2023,DFC,S,218,DFCS218,3.1,0,0.91,,
12/13/2023,DFC,S,212,DFCS212,3,0,1.07,,
12/13/2023,DFC,U,205,DFCU205,2.8,0,0.96,,
12/13/2023,DFC,U,202,DFCU202,3.1,0,0.91,,
12/13/2023,DFC,U,201,DFCU201,2.6,0,1.02,,
12/13/2023,DFC,U,203,DFCU203,2.8,0,1.02,,
12/13/2023,DFC,U,204,DFCU204,2.1,0,1.08,,
12/13/2023,DFC,R,199,DFCR199,3.8,0,0.93,,
12/13/2023,DFC,R,191,DFCR191,2.1,0,0.98,,
12/13/2023,DFC,R,112,DFCR112,2.1,0,0.98,,
12/13/2023,DFC,R,176,DFCR176,2.2,0,1.17,,
12/13/2023,DFC,R,184,DFCR184,3.1,0,1.02,,
12/13/2023,DFC,R,198,DFCR198,2.7,0,0.95,,
12/13/2023,DFC,R,194,DFCR194,1.9,0,0.93,,
12/13/2023,DFC,R,174,DFCR174,3,0,0.99,,
12/13/2023,DFC,R,102,DFCR102,2.6,0,1.14,,
12/13/2023,DFC,R,104,DFCR104,2.1,0,1.08,,
12/13/2023,DFC,R,130,DFCR130,1.8,0,1.34,,
12/13/2023,DFC,R,180,DFCR180,2.6,0,1.09,,
12/13/2023,DFC,R,140,DFCR140,2.6,0,0.93,,
12/13/2023,DFC,R,157,DFCR157,1.7,0,0.103,,
12/13/2023,DFC,R,177,DFCR177,2.4,0,0.84,,
12/13/2023,DFC,R,103,DFCR103,2.6,0,1.08,,
12/13/2023,DFC,R,101,DFCR101,0.5,0,0.75,,
12/13/2023,DFC,R,171,DFCR171,2.3,0,0.97,,
12/13/2023,DFC,R,148,DFCR148,1.5,0,0.99,,
12/13/2023,DFC,R,139,DFCR139,1.6,0,0.84,,
12/13/2023,DFC,R,156,DFCR156,1.5,0,0.87,,
12/13/2023,DFC,R,119,DFCR119,1.3,0,1.09,,
12/13/2023,DFC,R,170,DFCR170,1.9,0,0.88,,
12/13/2023,DFC,R,105,DFCR105,1.9,0,0.95,,
12/13/2023,DFC,R,172,DFCR172,2.2,0,0.92,,
12/13/2023,DFC,R,185,DFCR185,1.4,0,0.95,,
12/13/2023,DFC,R,164,DFCR164,2.3,0,1.21,,
12/13/2023,DFC,R,181,DFCR181,1.4,0,0.97,,
12/13/2023,DFC,R,175,DFCR175,2.2,0,0.96,,
12/13/2023,DFC,R,107,DFCR107,2.1,0,0.94,,
12/13/2023,DFC,R,173,DFCR173,2.2,0,1.04,,
12/13/2023,DFC,R,110,DFCR110,2,0,0.99,,
12/13/2023,DFC,R,124,DFCR124,2.9,0,0.93,,
12/13/2023,DFC,R,151,DFCR151,2.2,0,0.92,,
12/13/2023,DFC,R,192,DFCR192,1.6,0,1.08,,
12/13/2023,DFC,R,178,DFCR178,1.5,0,1.01,,
12/13/2023,DFC,R,106,DFCR106,2,0,1.05,,
12/13/2023,DFC,R,108,DFCR108,1.7,0,1.02,,
12/13/2023,DFC,R,118,DFCR118,1.3,0,0.99,,
12/13/2023,DFC,R,179,DFCR179,1.2,0,1.49,,
12/13/2023,DFC,R,137,DFCR137,3.1,0,1.14,,
12/13/2023,DFC,R,144,DFCR144,2.7,0,1.04,,
12/13/2023,DFC,R,189,DFCR189,1.8,0,1.1,,
12/13/2023,DFC,R,111,DFCR111,1.9,0,0.99,,
12/13/2023,DFC,R,114,DFCR114,2,0,0.92,,
12/13/2023,DFC,R,113,DFCR113,2.6,0,1.06,,
12/13/2023,DFC,R,134,DFCR134,2,0,1.01,,
12/13/2023,DFC,R,141,DFCR141,1.5,0,1,,
12/13/2023,DFC,R,187,DFCR187,1,0,0.95,,
12/13/2023,DFC,R,190,DFCR190,1.1,0,0.97,,
12/13/2023,DFC,R,168,DFCR168,2.7,0,1,,
12/13/2023,DFC,R,155,DFCR155,0.8,0,0.94,,
12/13/2023,DFC,R,129,DFCR129,2,0,0.97,,
12/13/2023,DFC,R,200,DFCR200,2.7,0,1.05,,
12/13/2023,DFC,R,169,DFCR169,2.2,0,0.84,,
12/13/2023,DFC,R,150,DFCR150,1.8,0,0.87,,
12/13/2023,DFC,R,160,DFCR160,2.3,0,1.04,,
12/13/2023,DFC,R,131,DFCR131,2.1,0,0.95,,
12/13/2023,DFC,R,128,DFCR128,2.5,0,0.88,,
12/13/2023,DFC,R,126,DFCR126,2.6,0,0.99,,
12/13/2023,DFC,R,136,DFCR136,1.7,0,0.93,,
12/13/2023,DFC,R,154,DFCR154,2.3,0,0.94,,
12/13/2023,DFC,R,153,DFCR153,2.2,0,0.87,,
12/13/2023,DFC,R,193,DFCR193,2.1,0,0.91,,
12/13/2023,DFC,R,133,DFCR133,1.8,0,0.86,,
12/13/2023,DFC,R,161,DFCR161,1.4,0,0.94,,
12/13/2023,DFC,R,138,DFCR138,2.7,0,1.03,,
12/13/2023,DFC,R,152,DFCR152,1.7,0,0.86,,
12/13/2023,DFC,R,167,DFCR167,1.9,0,0.96,,
12/13/2023,DFC,R,116,DFCR116,1.3,0,1,,
12/13/2023,DFC,R,143,DFCR143,1.7,0,0.98,,
12/13/2023,DFC,R,196,DFCR196,2.2,0,0.95,,
12/13/2023,DFC,R,163,DFCR163,1.7,0,0.96,,
12/13/2023,DFC,R,115,DFCR115,2.1,0,0.97,,
12/13/2023,DFC,R,166,DFCR166,2.4,0,1.02,,
12/13/2023,DFC,R,149,DFCR149,2.3,0,0.95,,
12/13/2023,DFC,R,123,DFCR123,1.8,0,1.02,,
12/13/2023,DFC,R,147,DFCR147,2.5,0,1.05,,
12/13/2023,DFC,R,195,DFCR195,2.2,0,0.91,,
12/13/2023,DFC,R,121,DFCR121,2.7,0,0.94,,
12/13/2023,DFC,R,127,DFCR127,2.1,0,1,,
12/13/2023,DFC,R,145,DFCR145,1.6,0,0.93,,
12/13/2023,DFC,R,132,DFCR132,2.5,0,1.13,,
12/13/2023,DFC,R,183,DFCR183,1.8,0,0.97,,
12/13/2023,DFC,R,142,DFCR142,1.5,0,0.99,,
12/13/2023,DFC,R,158,DFCR158,1.7,0,0.99,,
12/13/2023,DFC,R,122,DFCR122,1.5,0,0.86,,
12/13/2023,DFC,R,117,DFCR117,2.2,0,1.12,,
12/13/2023,DFC,R,165,DFCR165,2.1,0,0.85,,
12/13/2023,DFC,R,159,DFCR159,1.8,0,1,,
12/13/2023,DFC,R,162,DFCR162,2,0,1.16,,
12/13/2023,DFC,R,109,DFCR109,2.6,0,1.09,,
12/13/2023,DFC,R,125,DFCR125,2,0,0.99,,
12/13/2023,DFC,R,120,DFCR120,2.3,0,0.97,,
12/13/2023,DFC,R,188,DFCR188,2.5,0,0.93,,
01/07/2024,DFC,S,210,DFCS210,2.9,0,0.99,,
01/07/2024,DFC,S,214,DFCS214,3.1,0,1.05,,
01/07/2024,DFC,S,207,DFCS207,2.4,0,1.1,,
01/07/2024,DFC,S,206,DFCS206,1.5,0,0.96,,
01/07/2024,DFC,S,213,DFCS213,2.5,0,1.11,,
01/07/2024,DFC,S,217,DFCS217,1.7,0,0.95,,
01/07/2024,DFC,S,219,DFCS219,2,0,1.14,,
01/07/2024,DFC,S,215,DFCS215,2.1,0,1.39,,
01/07/2024,DFC,S,208,DFCS208,2.6,0,0.92,,
01/07/2024,DFC,S,209,DFCS209,2.1,0,1.02,,
01/07/2024,DFC,S,218,DFCS218,3.2,0,0.96,,
01/07/2024,DFC,U,205,DFCU205,2.8,0,1.04,,
01/07/2024,DFC,U,202,DFCU202,2.7,0,1.01,,
01/07/2024,DFC,U,201,DFCU201,2.1,0,1.02,,
01/07/2024,DFC,U,203,DFCU203,3.2,0,1.21,,
01/07/2024,DFC,U,204,DFCU204,2.3,0,1.22,,
01/07/2024,DFC,R,112,DFCR112,2.1,0,0.9,,
01/07/2024,DFC,R,176,DFCR176,2.1,0,1.01,,
01/07/2024,DFC,R,184,DFCR184,3.3,0,1,,
01/07/2024,DFC,R,198,DFCR198,2.9,0,1.35,,
01/07/2024,DFC,R,102,DFCR102,3.2,0,1.06,,
01/07/2024,DFC,R,174,DFCR174,3.2,0,1.15,,
01/07/2024,DFC,R,194,DFCR194,2.2,0,0.93,,
01/07/2024,DFC,R,140,DFCR140,2.9,0,0.92,,
01/07/2024,DFC,R,180,DFCR180,2.6,0,1.22,,
01/07/2024,DFC,R,130,DFCR130,1.9,0,1.19,,
01/07/2024,DFC,R,104,DFCR104,2.3,0,1.92,,
01/07/2024,DFC,R,103,DFCR103,3.1,0,1.07,,
01/07/2024,DFC,R,177,DFCR177,2.5,0,0.96,,
01/07/2024,DFC,R,157,DFCR157,2.1,0,1.11,,
01/07/2024,DFC,R,139,DFCR139,1.7,0,0.87,,
01/07/2024,DFC,R,148,DFCR148,1.6,0,0.96,,
01/07/2024,DFC,R,171,DFCR171,2.2,0,1.09,,
01/07/2024,DFC,R,170,DFCR170,1.8,0,0.89,,
01/07/2024,DFC,R,119,DFCR119,1.7,0,0.96,,
01/07/2024,DFC,R,156,DFCR156,1.4,0,0.83,,
01/07/2024,DFC,R,164,DFCR164,2.3,0,1.08,,
01/07/2024,DFC,R,185,DFCR185,1.4,0,0.91,,
01/07/2024,DFC,R,172,DFCR172,2.5,0,0.94,,
01/07/2024,DFC,R,105,DFCR105,2.1,0,1,,
01/07/2024,DFC,R,107,DFCR107,2,0,0.92,,
01/07/2024,DFC,R,175,DFCR175,2.2,0,0.98,,
01/07/2024,DFC,R,181,DFCR181,1.6,0,1.3,,
01/07/2024,DFC,R,124,DFCR124,2.8,0,1.02,,
01/07/2024,DFC,R,110,DFCR110,2,0,0.97,,
01/07/2024,DFC,R,173,DFCR173,2.2,0,1.04,,
01/07/2024,DFC,R,106,DFCR106,2.1,0,1.27,,
01/07/2024,DFC,R,178,DFCR178,1.9,0,1.08,,
01/07/2024,DFC,R,192,DFCR192,1.7,0,0.93,,
01/07/2024,DFC,R,137,DFCR137,2.8,0,1.1,,
01/07/2024,DFC,R,179,DFCR179,1.6,0,1.02,,
01/07/2024,DFC,R,118,DFCR118,1.2,0,1.02,,
01/07/2024,DFC,R,108,DFCR108,1.6,0,1.08,,
01/07/2024,DFC,R,111,DFCR111,1.8,0,0.99,,
01/07/2024,DFC,R,189,DFCR189,1.5,0,0.9,,
01/07/2024,DFC,R,191,DFCR191,1.7,0,1.02,,
01/07/2024,DFC,R,134,DFCR134,1.9,0,1.09,,
01/07/2024,DFC,R,199,DFCR199,3.4,0,1.1,,
01/07/2024,DFC,R,113,DFCR113,2.7,0,1.13,,
01/07/2024,DFC,R,114,DFCR114,2.3,0,0.97,,
01/07/2024,DFC,R,190,DFCR190,1.2,0,0.96,,
01/07/2024,DFC,R,187,DFCR187,1.3,0,1.04,,
01/07/2024,DFC,R,141,DFCR141,1.8,0,1.03,,
01/07/2024,DFC,R,168,DFCR168,2.3,0,1.03,,
01/07/2024,DFC,R,155,DFCR155,0.9,0,0.89,,
01/07/2024,DFC,R,129,DFCR129,1.7,0,0.95,,
01/07/2024,DFC,R,169,DFCR169,2.2,0,1.03,,
01/07/2024,DFC,R,200,DFCR200,2.8,0,1.04,,
01/07/2024,DFC,R,150,DFCR150,1.9,0,0.92,,
01/07/2024,DFC,R,160,DFCR160,1.8,0,1.26,,
01/07/2024,DFC,R,131,DFCR131,2,0,1.09,,
01/07/2024,DFC,R,154,DFCR154,2.1,0,0.94,,
01/07/2024,DFC,R,136,DFCR136,2.1,0,1,,
01/07/2024,DFC,R,126,DFCR126,2.4,0,1.03,,
01/07/2024,DFC,R,128,DFCR128,2.5,0,0.89,,
01/07/2024,DFC,R,153,DFCR153,2.1,0,1.06,,
01/07/2024,DFC,R,133,DFCR133,1.9,0,0.98,,
01/07/2024,DFC,R,152,DFCR152,1.5,0,1.05,,
01/07/2024,DFC,R,138,DFCR138,2.4,0,1.01,,
01/07/2024,DFC,R,161,DFCR161,1.2,0,1.23,,
01/07/2024,DFC,R,167,DFCR167,2.3,0,1.06,,
01/07/2024,DFC,R,143,DFCR143,1.9,0,1.05,,
01/07/2024,DFC,R,166,DFCR166,2.3,0,1.02,,
01/07/2024,DFC,R,115,DFCR115,2,0,0.88,,
01/07/2024,DFC,R,163,DFCR163,1.8,0,1.05,,
01/07/2024,DFC,R,196,DFCR196,1.8,0,0.91,,
01/07/2024,DFC,R,149,DFCR149,3,0,0.96,,
01/07/2024,DFC,R,123,DFCR123,2.1,0,0.97,,
01/07/2024,DFC,R,147,DFCR147,2.2,0,1.11,,
01/07/2024,DFC,R,145,DFCR145,1.4,0,0.95,,
01/07/2024,DFC,R,127,DFCR127,2.2,0,0.95,,
01/07/2024,DFC,R,121,DFCR121,2.6,0,0.89,,
